Date,Boys,Girls,
2016-07-11,176,181,
2016-07-12,145,130,
2016-07-13,157,158,
2016-07-14,189,168,
2016-07-15,169,200,
2016-07-16,142,145,
2016-07-17,106,96,
2016-07-18,148,136,
2016-07-19,147,142,
2016-07-20,151,142,
2016-07-21,198,181,
2016-07-22,169,143,
2016-07-23,135,144,
2016-07-24,100,97,
2016-07-25,156,148,
2016-07-26,142,143,
2016-07-27,147,132,
2016-07-28,165,144,
2016-07-29,132,147,
2016-07-30,132,148,
2016-07-31,96,103,
2016-08-01,141,159,
2016-08-02,108,122,
2016-08-03,129,124,
2016-08-04,184,181,
2016-08-05,191,202,
2016-08-06,157,135,
2016-08-07,120,104,
2016-08-08,172,176,
2016-08-09,167,125,
2016-08-10,195,186,
2016-08-11,156,134,
2016-08-12,170,153,
2016-08-13,139,134,
2016-08-14,117,90,
2016-08-15,123,122,
2016-08-16,151,132,
2016-08-17,223,197,
2016-08-18,175,162,
2016-08-19,167,144,
2016-08-20,139,119,
2016-08-21,119,110,
2016-08-22,195,191,
2016-08-23,148,138,
2016-08-24,201,154,
2016-08-25,152,129,
2016-08-26,154,129,
2016-08-27,158,113,
2016-08-28,124,130,
2016-08-29,208,182,
2016-08-30,147,151,
2016-08-31,132,155,
2016-09-01,145,120,
2016-09-02,146,125,
2016-09-03,149,132,
2016-09-04,120,123,
2016-09-05,169,141,
2016-09-06,158,142,
2016-09-07,193,175,
2016-09-08,187,205,
2016-09-09,164,141,
2016-09-10,149,148,
2016-09-11,123,113,
2016-09-12,191,186,
2016-09-13,144,134,
2016-09-14,222,191,
2016-09-15,179,166,
2016-09-16,156,146,
2016-09-17,151,130,
2016-09-18,103,108,
2016-09-19,182,192,
2016-09-20,166,154,
2016-09-21,200,171,
2016-09-22,162,165,
2016-09-23,181,175,
2016-09-24,154,130,
2016-09-25,149,116,
2016-09-26,178,195,
2016-09-27,173,156,
2016-09-28,205,205,
2016-09-29,159,167,
2016-09-30,141,113,
2016-10-01,151,145,
2016-10-02,127,120,
2016-10-03,209,194,
2016-10-04,188,173,
2016-10-05,236,225,
2016-10-06,193,213,
2016-10-07,174,181,
2016-10-08,154,146,
2016-10-09,130,103,
2016-10-10,164,147,
2016-10-11,193,189,
2016-10-12,187,181,
2016-10-13,164,182,
2016-10-14,217,220,
2016-10-15,195,172,
2016-10-16,128,115,
2016-10-17,205,211,
2016-10-18,151,170,
2016-10-19,194,196,
2016-10-20,181,205,
2016-10-21,202,201,
2016-10-22,155,175,
2016-10-23,120,128,
2016-10-24,163,152,
2016-10-25,213,194,
2016-10-26,207,190,
2016-10-27,193,191,
2016-10-28,166,203,
2016-10-29,118,101,
2016-10-30,101,74,
2016-10-31,138,146,
2016-11-01,199,169,
2016-11-02,242,223,
2016-11-03,176,167,
2016-11-04,164,178,
2016-11-05,177,169,
2016-11-06,140,123,
2016-11-07,221,192,
2016-11-08,197,169,
2016-11-09,169,173,
2016-11-10,210,178,
2016-11-11,188,193,
2016-11-12,152,154,
2016-11-13,119,113,
2016-11-14,197,196,
2016-11-15,158,138,
2016-11-16,179,177,
2016-11-17,186,167,
2016-11-18,205,206,
2016-11-19,162,148,
2016-11-20,105,104,
2016-11-21,151,149,
2016-11-22,178,151,
2016-11-23,176,201,
2016-11-24,172,165,
2016-11-25,190,179,
2016-11-26,148,157,
2016-11-27,135,130,
2016-11-28,169,152,
2016-11-29,107,133,
2016-11-30,132,137,
2016-12-01,200,160,
2016-12-02,166,167,
2016-12-03,158,158,
2016-12-04,145,141,
2016-12-05,195,218,
2016-12-06,135,132,
2016-12-07,135,154,
2016-12-08,190,165,
2016-12-09,188,183,
2016-12-10,155,133,
2016-12-11,132,92,
2016-12-12,93,159,
2016-12-13,132,97,
2016-12-14,172,183,
2016-12-15,162,173,
2016-12-16,148,176,
2016-12-17,142,115,
2016-12-18,97,104,
2016-12-19,158,169,
2016-12-20,149,149,
2016-12-21,156,125,
2016-12-22,166,138,
2016-12-23,151,147,
2016-12-24,148,127,
2016-12-25,96,92,
2016-12-26,154,162,
2016-12-27,107,136,
2016-12-28,113,89,
2016-12-29,111,108,
2016-12-30,122,108,
2016-12-31,128,113,
2017-01-01,109,139,
2017-01-02,151,121,
2017-01-03,109,121,
2017-01-04,138,165,
2017-01-05,156,138,
2017-01-06,143,103,
2017-01-07,111,122,
2017-01-08,85,77,
2017-01-09,134,124,
2017-01-10,116,93,
2017-01-11,103,142,
2017-01-12,166,143,
2017-01-13,99,103,
2017-01-14,72,59,
2017-01-15,75,68,
2017-01-16,107,77,
2017-01-17,124,119,
2017-01-18,127,128,
2017-01-19,134,106,
2017-01-20,117,113,
2017-01-21,104,85,
2017-01-22,76,62,
2017-01-23,126,136,
2017-01-24,99,90,
2017-01-25,129,96,
2017-01-26,72,82,
2017-01-27,93,92,
2017-01-28,86,86,
2017-01-29,71,66,
2017-01-30,113,94,
2017-01-31,83,86,
2017-02-01,127,116,
2017-02-02,130,140,
2017-02-03,94,107,
2017-02-04,92,77,
2017-02-05,61,71,
2017-02-06,114,112,
2017-02-07,88,95,
2017-02-08,95,113,
2017-02-09,133,131,
2017-02-10,105,109,
2017-02-11,77,90,
2017-02-12,79,71,
2017-02-13,116,128,
2017-02-14,113,112,
2017-02-15,108,112,
2017-02-16,121,108,
2017-02-17,115,128,
2017-02-18,111,102,
2017-02-19,84,74,
2017-02-20,105,83,
2017-02-21,86,80,
2017-02-22,136,114,
2017-02-23,153,152,
2017-02-24,116,139,
2017-02-25,109,91,
2017-02-26,66,51,
2017-02-27,103,94,
2017-02-28,105,101,
2017-03-01,138,121,
2017-03-02,143,148,
2017-03-03,125,147,
2017-03-04,99,118,
2017-03-05,81,72,
2017-03-06,153,114,
2017-03-07,114,104,
2017-03-08,150,144,
2017-03-09,169,164,
2017-03-10,114,108,
2017-03-11,139,147,
2017-03-12,93,86,
2017-03-13,137,141,
2017-03-14,140,141,
2017-03-15,136,129,
2017-03-16,194,173,
2017-03-17,145,146,
2017-03-18,137,111,
2017-03-19,77,74,
2017-03-20,156,96,
2017-03-21,105,96,
2017-03-22,142,135,
2017-03-23,192,153,
2017-03-24,153,138,
2017-03-25,119,123,
2017-03-26,77,93,
2017-03-27,130,136,
2017-03-28,107,111,
2017-03-29,134,135,
2017-03-30,176,173,
2017-03-31,128,146,
2017-04-01,123,119,
2017-04-02,96,95,
2017-04-03,161,140,
2017-04-04,130,110,
2017-04-05,178,150,
2017-04-06,141,117,
2017-04-07,146,144,
2017-04-08,145,95,
2017-04-09,126,132,
2017-04-10,167,159,
2017-04-11,127,108,
2017-04-12,177,168,
2017-04-13,179,145,
2017-04-14,109,117,
2017-04-15,110,115,
2017-04-16,81,77,
2017-04-17,116,102,
2017-04-18,112,98,
2017-04-19,101,111,
2017-04-20,135,135,
2017-04-21,136,118,
2017-04-22,124,124,
2017-04-23,88,90,
2017-04-24,171,154,
2017-04-25,131,101,
2017-04-26,98,99,
2017-04-27,127,121,
2017-04-28,166,134,
2017-04-29,132,121,
2017-04-30,98,96,
2017-05-01,141,129,
2017-05-02,137,123,
2017-05-03,149,140,
2017-05-04,151,146,
2017-05-05,131,168,
2017-05-06,147,118,
2017-05-07,104,94,
2017-05-08,154,140,
2017-05-09,117,123,
2017-05-10,190,171,
2017-05-11,144,108,
2017-05-12,154,143,
2017-05-13,131,106,
2017-05-14,103,114,
2017-05-15,158,164,
2017-05-16,129,140,
2017-05-17,226,232,
2017-05-18,193,168,
2017-05-19,150,159,
2017-05-20,125,136,
2017-05-21,120,117,
2017-05-22,189,160,
2017-05-23,127,142,
2017-05-24,159,153,
2017-05-25,126,129,
2017-05-26,152,127,
2017-05-27,131,152,
2017-05-28,101,85,
2017-05-29,185,171,
2017-05-30,132,112,
2017-05-31,162,149,
2017-06-01,203,18,
2017-06-02,164,155,
2017-06-03,164,156,
2017-06-04,134,105,
2017-06-05,171,167,
2017-06-06,182,160,
2017-06-07,171,180,
2017-06-08,174,188,
2017-06-09,172,164,
2017-06-10,137,170,
2017-06-11,93,98,
2017-06-12,159,149,
2017-06-13,177,177,
2017-06-14,198,212,
2017-06-15,135,146,
2017-06-16,166,178,
2017-06-17,134,132,
2017-06-18,102,106,
2017-06-19,179,195,
2017-06-20,166,146,
2017-06-21,165,165,
2017-06-22,161,155,
2017-06-23,122,131,
2017-06-24,148,123,
2017-06-25,127,103,
2017-06-26,140,151,
2017-06-27,124,143,
2017-06-28,182,182,
2017-06-29,145,153,
2017-06-30,160,150,
2017-07-01,134,114,
2017-07-02,104,85,
2017-07-03,192,150,
2017-07-04,133,152,
2017-07-05,189,157,
2017-07-06,171,166,
2017-07-07,187,139,
2017-07-08,126,120,
2017-07-09,104,108,
2017-07-10,150,160,
2017-07-11,136,145,
2017-07-12,175,180,
2017-07-13,146,132,
2017-07-14,168,162,
2017-07-15,171,150,
2017-07-16,119,102,
2017-07-17,126,133,
2017-07-18,128,120,
2017-07-19,172,180,
2017-07-20,140,146,
2017-07-21,187,175,
2017-07-22,133,101,
2017-07-23,99,81,
2017-07-24,126,133,
