Date,Zone_No,Zone_Name,Confirmed_cases,Recovered,Hospitalized,Deceased
 2020-04-14,V,ROYAPURAM,63,1,59,3
 2020-04-14,VI,THIRU VI KA NAGAR,29,0,28,1
 2020-04-14,VII,AMBATTUR,0,0,0,0
 2020-04-14,VIII,ANNA NAGAR,22,7,15,0
 2020-04-14,IX,TEYNAMPET,15,1,15,0
 2020-04-14,X,KODAMBAKKAM,23,5,19,0
 2020-04-14,XI,VALASARAVAKKAM,5,2,3,0
 2020-04-14,XII,ALANDUR,2,1,2,0
 2020-04-14,XIII,ADYAR,7,1,6,0
 2020-04-14,XIV,PERUNGUDI,7,0,7,0
 2020-04-14,XV,SOZHINGANALLUR,2,0,2,0
 2020-04-15,I,THIRUVOTTIYUR,4,0,4,0
 2020-04-15,II,MANALI,0,0,0,0
 2020-04-15,III,MADHAVARAM,3,0,3,0
 2020-04-15,IV,TONDIARPET,19,0,19,1
 2020-04-15,V,ROYAPURAM,63,1,58,5
 2020-04-15,VI,THIRU VI KA NAGAR,30,0,30,1
 2020-04-15,VII,AMBATTUR,0,0,0,0
 2020-04-15,VIII,ANNA NAGAR,22,7,15,0
 2020-04-15,IX,TEYNAMPET,16,3,15,0
 2020-04-15,X,KODAMBAKKAM,24,5,19,0
 2020-04-15,XI,VALASARAVAKKAM,5,2,3,0
 2020-04-15,XII,ALANDUR,3,1,2,0
 2020-04-15,XIII,ADYAR,7,1,6,0
 2020-04-15,XIV,PERUNGUDI,7,0,7,0
 2020-04-15,XV,SOZHINGANALLUR,2,0,2,0
 2020-04-16,I,THIRUVOTTIYUR,4,0,4,0
 2020-04-16,II,MANALI,0,0,0,0
 2020-04-16,III,MADHAVARAM,3,0,3,0
 2020-04-16,IV,TONDIARPET,20,0,19,1
 2020-04-16,V,ROYAPURAM,65,1,59,5
 2020-04-16,VI,THIRU VI KA NAGAR,32,0,31,1
 2020-04-16,VII,AMBATTUR,0,0,0,0
 2020-04-16,VIII,ANNA NAGAR,23,7,16,0
 2020-04-16,IX,TEYNAMPET,19,2,17,0
 2020-04-16,X,KODAMBAKKAM,24,6,18,0
 2020-04-16,XI,VALASARAVAKKAM,5,2,3,0
 2020-04-16,XII,ALANDUR,3,1,2,0
 2020-04-16,XIII,ADYAR,7,1,6,0
 2020-04-16,XIV,PERUNGUDI,7,2,5,0
 2020-04-16,XV,SOZHINGANALLUR,2,1,1,0
 2020-04-17,I,THIRUVOTTIYUR,5,0,5,0
 2020-04-17,II,MANALI,0,0,0,0
 2020-04-17,III,MADHAVARAM,3,0,3,0
 2020-04-17,IV,TONDIARPET,20,0,19,1
 2020-04-17,V,ROYAPURAM,73,1,67,5
 2020-04-17,VI,THIRU VI KA NAGAR,33,0,31,1
 2020-04-17,VII,AMBATTUR,0,0,0,0
 2020-04-17,VIII,ANNA NAGAR,24,7,17,0
 2020-04-17,IX,TEYNAMPET,19,2,17,0
 2020-04-17,X,KODAMBAKKAM,26,6,20,0
 2020-04-17,XI,VALASARAVAKKAM,5,3,2,0
 2020-04-17,XII,ALANDUR,3,1,2,0
 2020-04-17,XIII,ADYAR,7,1,6,0
 2020-04-17,XIV,PERUNGUDI,7,2,5,0
 2020-04-17,XV,SOZHINGANALLUR,2,1,1,0
 2020-04-18,I,THIRUVOTTIYUR,5,0,5,0
